SGG_NM,YM,RENT_GTN,RENT_FEE
광진구,2022-09,22220.135245901638,94.08196721311475
광진구,2022-10,21572.429166666665,96.175
광진구,2022-11,13937.53036437247,91.23076923076923
광진구,2022-12,17572.900900900902,91.67567567567568
광진구,2023-01,17680.981308411214,79.3177570093458
구로구,2022-01,9341.572727272727,56.88636363636363
구로구,2022-02,10709.487985212569,53.79852125693161
구로구,2022-03,9956.566585956416,54.57627118644068
구로구,2022-04,9271.35775862069,53.497844827586206
구로구,2022-05,15313.061194029851,52.6044776119403
구로구,2022-06,16950.26230975828,48.930170098478065
구로구,2022-07,16295.802663438257,49.43583535108959
구로구,2022-08,11832.603563474388,55.939866369710465
구로구,2022-09,11019.103686635945,60.33179723502304
구로구,2022-10,11174.539845758354,63.066838046272494
구로구,2022-11,10597.088235294117,58.5
구로구,2022-12,9347.992207792207,53.36103896103896
구로구,2023-01,12275.734463276836,52.101694915254235
금천구,2022-01,6127.801724137931,52.19396551724138
금천구,2022-02,6120.603305785124,53.3801652892562
금천구,2022-03,5217.680555555556,55.666666666666664
금천구,2022-04,5463.144578313253,54.00401606425703
금천구,2022-05,5136.052884615385,56.44711538461539
금천구,2022-06,5415.629107981221,55.91549295774648
금천구,2022-07,5671.268,51.976
금천구,2022-08,6200.511312217194,53.06334841628959
금천구,2022-09,6500.92899408284,52.55029585798817
금천구,2022-10,7862.14705882353,57.919117647058826
금천구,2022-11,6561.338345864661,55.78195488721804
금천구,2022-12,6486.3057324840765,55.4140127388535
금천구,2023-01,6468.823529411765,58.76470588235294
노원구,2022-01,7664.3702479338845,60.110743801652895
노원구,2022-02,7026.378031383738,55.1169757489301
노원구,2022-03,8168.729096989967,59.38294314381271
노원구,2022-04,8069.708041958042,60.86013986013986
노원구,2022-05,8018.604790419162,56.372754491017965
노원구,2022-06,7904.588768115942,59.29528985507246
노원구,2022-07,6299.675799086758,49.00152207001522
노원구,2022-08,8238.754098360656,62.7959927140255
노원구,2022-09,7366.173693086003,56.48566610455312
노원구,2022-10,9439.61243144424,65.82998171846435
노원구,2022-11,8121.398481973434,60.8842504743833
노원구,2022-12,8814.296,63.814
노원구,2023-01,8145.789115646258,59.894557823129254
도봉구,2022-01,6254.886363636364,61.56363636363636
도봉구,2022-02,5865.889830508475,59.11440677966102
도봉구,2022-03,5796.824561403509,52.71052631578947
도봉구,2022-04,5748.579399141631,61.33476394849785
도봉구,2022-05,5519.135313531353,53.84158415841584
도봉구,2022-06,5861.069264069264,59.63203463203463
도봉구,2022-07,6869.185185185185,58.68055555555556
도봉구,2022-08,6185.8,63.39565217391304
도봉구,2022-09,7344.260162601626,66.3048780487805
도봉구,2022-10,7593.609756097561,64.46829268292683
도봉구,2022-11,7154.262295081967,67.09836065573771
도봉구,2022-12,6362.013422818792,63.241610738255034
도봉구,2023-01,5209.886363636364,67.38636363636364
동대문구,2022-01,8641.286919831224,71.63924050632912
동대문구,2022-02,9568.049886621315,67.7233560090703
동대문구,2022-03,9790.44383561644,79.7972602739726
동대문구,2022-04,10275.803763440861,78.03225806451613
동대문구,2022-05,9772.89972899729,74.01355013550136
동대문구,2022-06,8863.835,71.9725
동대문구,2022-07,10048.792233009708,70.17864077669903
동대문구,2022-08,11548.515738498789,74.55690072639226
동대문구,2022-09,13097.54748603352,78.12011173184358
동대문구,2022-10,14677.31914893617,82.43768996960486
동대문구,2022-11,9885.716088328076,66.08517350157729
동대문구,2022-12,9533.631736526946,65.57485029940119
동대문구,2023-01,9931.088372093023,72.70232558139534
동작구,2022-01,22543.70382165605,85.40127388535032
동작구,2022-02,21761.99722222222,82.68611111111112
동작구,2022-03,22432.87450980392,93.50588235294117
동작구,2022-04,26750.353146853147,101.06293706293707
동작구,2022-05,23816.486274509803,102.51372549019608
동작구,2022-06,21266.66,87.33333333333333
동작구,2022-07,23793.857585139318,87.38390092879257
동작구,2022-08,25128.023411371236,83.50836120401338
동작구,2022-09,19248.037162162163,80.30405405405405
동작구,2022-10,23328.570934256055,88.9515570934256
동작구,2022-11,22493.88560885609,79.24354243542436
동작구,2022-12,20841.673469387755,86.06122448979592
동작구,2023-01,23381.49720670391,84.32402234636872
마포구,2022-01,13043.08849557522,84.05056890012642
마포구,2022-02,12169.358865248227,87.30354609929078
마포구,2022-03,12984.301652892562,78.82093663911846
마포구,2022-04,10515.870833333332,92.54444444444445
마포구,2022-05,9866.384180790961,87.54237288135593
마포구,2022-06,13155.392092257001,86.28830313014826
마포구,2022-07,13342.277408637874,94.2109634551495
마포구,2022-08,13884.3947858473,95.77839851024208
마포구,2022-09,15204.719191919192,100.84646464646465
마포구,2022-10,15521.522504892368,102.93150684931507
마포구,2022-11,11574.669658886894,88.60143626570915
마포구,2022-12,11680.80227596017,87.39260312944523
마포구,2023-01,9123.127845884414,56.467600700525395
서대문구,2022-01,12029.248120300752,78.58646616541354
서대문구,2022-02,11715.926931106473,75.78496868475992
서대문구,2022-03,11936.828313253012,77.78012048192771
서대문구,2022-04,14190.15037593985,88.54511278195488
서대문구,2022-05,15932.457364341086,81.06976744186046
서대문구,2022-06,10596.247887323943,69.97464788732394
서대문구,2022-07,12929.33890214797,62.76849642004773
서대문구,2022-08,17438.06844106464,89.04562737642586
서대문구,2022-09,17991.655462184874,87.26050420168067
서대문구,2022-10,16327.826666666666,75.94666666666667
서대문구,2022-11,12692.897810218978,85.62043795620438
서대문구,2022-12,14845.893617021276,81.29787234042553
서대문구,2023-01,14387.131147540984,86.91256830601093
서초구,2022-01,39097.50398724083,155.16905901116428
서초구,2022-02,31159.358642972536,140.25040387722132
서초구,2022-03,35022.29227941176,163.04595588235293
서초구,2022-04,36258.00165837479,167.6235489220564
서초구,2022-05,38538.48101265823,183.59674502712477
서초구,2022-06,38155.98951048951,160.1993006993007
서초구,2022-07,40102.22297297297,169.08614864864865
서초구,2022-08,44523.181818181816,163.24242424242425
서초구,2022-09,46606.11525423729,177.4813559322034
서초구,2022-10,47372.2188034188,165.98461538461538
서초구,2022-11,38556.8487654321,141.2314814814815
서초구,2022-12,33218.31160572337,143.06836248012718
서초구,2023-01,34456.83505154639,137.3298969072165
