BJDONG_NM,CNTRCT_DE,RENT_GTN
가락동,2022-06-27,58666.666666666664
가락동,2022-06-28,64000.0
가락동,2022-06-29,93000.0
가락동,2022-06-30,72000.0
가락동,2022-07-01,44100.0
가락동,2022-07-02,52842.857142857145
가락동,2022-07-03,110000.0
가락동,2022-07-04,90000.0
가락동,2022-07-05,23500.0
가락동,2022-07-06,74666.66666666667
가락동,2022-07-07,87166.66666666667
가락동,2022-07-08,52300.0
가락동,2022-07-09,59225.0
가락동,2022-07-11,74100.0
가락동,2022-07-12,76150.0
가락동,2022-07-13,79166.66666666667
가락동,2022-07-14,38666.666666666664
가락동,2022-07-15,88600.0
가락동,2022-07-16,65102.5
가락동,2022-07-18,55566.0
가락동,2022-07-19,72000.0
가락동,2022-07-20,56202.857142857145
가락동,2022-07-21,61333.333333333336
가락동,2022-07-22,61927.77777777778
가락동,2022-07-23,71014.28571428571
가락동,2022-07-25,81650.0
가락동,2022-07-26,87000.0
가락동,2022-07-27,49675.0
가락동,2022-07-29,46087.5
가락동,2022-07-30,64983.333333333336
가락동,2022-07-31,60900.0
가락동,2022-08-02,42000.0
가락동,2022-08-03,82900.0
가락동,2022-08-04,46200.0
가락동,2022-08-05,40000.0
가락동,2022-08-06,62328.125
가락동,2022-08-08,82333.33333333333
가락동,2022-08-09,40000.0
가락동,2022-08-10,60415.75
가락동,2022-08-11,68000.0
가락동,2022-08-12,65371.0
가락동,2022-08-13,66530.76923076923
가락동,2022-08-14,71000.0
가락동,2022-08-15,40950.0
가락동,2022-08-16,55382.5
가락동,2022-08-17,83377.5
가락동,2022-08-18,63000.0
가락동,2022-08-19,80200.83333333333
가락동,2022-08-20,48444.444444444445
가락동,2022-08-22,77233.33333333333
가락동,2022-08-23,78125.0
가락동,2022-08-24,32333.333333333332
가락동,2022-08-25,64225.0
가락동,2022-08-26,77968.75
가락동,2022-08-27,80171.42857142857
가락동,2022-08-29,56272.22222222222
가락동,2022-08-30,69000.0
가락동,2022-08-31,61802.0
가락동,2022-09-01,48895.0
가락동,2022-09-02,61900.0
가락동,2022-09-03,50650.0
가락동,2022-09-04,14700.0
가락동,2022-09-06,81000.0
가락동,2022-09-07,80000.0
가락동,2022-09-13,110000.0
가락동,2022-09-14,80950.0
가락동,2022-09-15,82862.5
가락동,2022-09-16,62083.333333333336
가락동,2022-09-17,58665.0
가락동,2022-09-18,38000.0
가락동,2022-09-19,42000.0
가락동,2022-09-20,70650.0
가락동,2022-09-21,59012.5
가락동,2022-09-22,130000.0
가락동,2022-09-23,56200.0
가락동,2022-09-24,54088.0
가락동,2022-09-26,95083.33333333333
가락동,2022-09-27,71400.0
가락동,2022-09-28,47000.0
가락동,2022-09-29,62581.666666666664
가락동,2022-09-30,59000.0
가락동,2022-10-01,55383.333333333336
가락동,2022-10-03,60577.857142857145
가락동,2022-10-04,62041.666666666664
가락동,2022-10-05,102000.0
가락동,2022-10-06,93633.33333333333
가락동,2022-10-07,55980.0
가락동,2022-10-08,42875.0
가락동,2022-10-10,65333.333333333336
가락동,2022-10-11,54900.0
가락동,2022-10-12,64314.28571428572
가락동,2022-10-13,52500.0
가락동,2022-10-14,53550.0
가락동,2022-10-15,52535.71428571428
가락동,2022-10-16,80650.0
가락동,2022-10-17,77290.0
가락동,2022-10-18,75000.0
가락동,2022-10-19,81637.5
가락동,2022-10-20,73920.0
가락동,2022-10-21,59500.0
가락동,2022-10-22,40380.0
가락동,2022-10-24,59000.0
가락동,2022-10-25,56500.0
가락동,2022-10-26,70616.66666666667
가락동,2022-10-27,23000.0
가락동,2022-10-28,73140.0
가락동,2022-10-29,65116.666666666664
