SGG_NM,CNTRCT_DE,RENT_GTN,RENT_FEE
강남구,2022-01-01,36200.0,274.0
강남구,2022-01-02,45021.666666666664,150.83333333333334
강남구,2022-01-03,27314.827586206895,130.68965517241378
강남구,2022-01-04,46813.51351351351,168.75675675675674
강남구,2022-01-05,35750.0,185.7941176470588
강남구,2022-01-06,32812.5,187.4375
강남구,2022-01-07,35246.90909090909,178.92727272727274
강남구,2022-01-08,43994.57831325301,139.2289156626506
강남구,2022-01-09,25400.0,211.4
강남구,2022-01-10,35939.28571428572,172.4047619047619
강남구,2022-01-11,30846.457142857143,179.4857142857143
강남구,2022-01-12,31251.333333333332,130.05555555555554
강남구,2022-01-13,43228.0,169.22
강남구,2022-01-14,25073.076923076922,169.30769230769232
강남구,2022-01-15,44042.65306122449,158.62244897959184
강남구,2022-01-16,24100.0,93.0
강남구,2022-01-17,30365.384615384617,152.53846153846155
강남구,2022-01-18,39721.95121951219,133.390243902439
강남구,2022-01-19,39782.68421052631,144.6315789473684
강남구,2022-01-20,51241.89189189189,179.0810810810811
강남구,2022-01-21,40660.53333333333,175.93333333333334
강남구,2022-01-22,34008.12987012987,126.1038961038961
강남구,2022-01-23,10000.0,600.0
강남구,2022-01-24,26365.636363636364,148.5
강남구,2022-01-25,35544.333333333336,133.51111111111112
강남구,2022-01-26,32927.63157894737,153.8684210526316
강남구,2022-01-27,28405.37777777778,243.04444444444445
강남구,2022-01-28,31273.0,149.42424242424244
강남구,2022-01-29,33907.89473684211,132.26315789473685
강남구,2022-01-30,50000.0,100.0
강남구,2022-01-31,15000.0,225.0
강남구,2022-02-01,1000.0,65.0
강남구,2022-02-02,29500.0,18.5
강남구,2022-02-03,25476.055555555555,141.91666666666666
강남구,2022-02-04,38311.6129032258,115.35483870967742
강남구,2022-02-05,38571.120689655174,166.05172413793105
강남구,2022-02-06,45453.333333333336,150.0
강남구,2022-02-07,29476.130434782608,176.43478260869566
강남구,2022-02-08,30474.17021276596,156.38297872340425
강남구,2022-02-09,31793.333333333332,165.8
강남구,2022-02-10,29472.0,177.0
강남구,2022-02-11,27045.0,185.175
강남구,2022-02-12,35404.155844155845,147.24675324675326
강남구,2022-02-13,50000.0,242.5
강남구,2022-02-14,29770.27027027027,128.64864864864865
강남구,2022-02-15,33439.0,177.71794871794873
강남구,2022-02-16,30841.2,154.33333333333334
강남구,2022-02-17,29178.714285714286,125.6938775510204
강남구,2022-02-18,26676.190476190477,151.85714285714286
강남구,2022-02-19,34410.9375,146.0
강남구,2022-02-20,28000.0,95.16666666666667
강남구,2022-02-21,38280.828571428574,158.2
강남구,2022-02-22,33572.05882352941,200.35294117647058
강남구,2022-02-23,32893.675,194.025
강남구,2022-02-24,42391.93548387097,148.5483870967742
강남구,2022-02-25,35983.333333333336,142.02380952380952
강남구,2022-02-26,30949.03846153846,145.94230769230768
강남구,2022-02-27,11125.0,124.5
강남구,2022-02-28,30495.25,184.7
강남구,2022-03-01,26224.074074074073,149.85185185185185
강남구,2022-03-02,26079.0625,177.0
강남구,2022-03-03,21125.0,157.08333333333334
강남구,2022-03-04,32388.88888888889,161.14814814814815
강남구,2022-03-05,36910.71428571428,158.98214285714286
강남구,2022-03-06,41718.25,119.75
강남구,2022-03-07,24322.777777777777,184.0
강남구,2022-03-08,42846.153846153844,177.42307692307693
강남구,2022-03-09,38571.42857142857,174.78571428571428
강남구,2022-03-10,16045.454545454546,208.3939393939394
강남구,2022-03-11,39704.545454545456,204.1818181818182
강남구,2022-03-12,28570.731707317074,134.4390243902439
강남구,2022-03-13,2000.0,220.0
강남구,2022-03-14,30825.325,149.325
강남구,2022-03-15,23070.666666666668,104.26666666666667
강남구,2022-03-16,25914.923076923078,109.65384615384616
강남구,2022-03-17,28619.74358974359,152.64102564102564
강남구,2022-03-18,17768.904761904763,132.83333333333334
강남구,2022-03-19,32224.525423728814,125.03389830508475
강남구,2022-03-20,35248.444444444445,244.55555555555554
강남구,2022-03-21,18851.243243243243,232.1891891891892
강남구,2022-03-22,21644.86842105263,145.10526315789474
강남구,2022-03-23,42865.391304347824,171.2173913043478
강남구,2022-03-24,18289.1,131.93333333333334
강남구,2022-03-25,38883.822222222225,203.6
강남구,2022-03-26,45052.04081632653,158.0204081632653
강남구,2022-03-27,5325.875,97.125
강남구,2022-03-28,30209.241379310344,130.58620689655172
강남구,2022-03-29,28655.090909090908,149.24242424242425
강남구,2022-03-30,24500.0,154.56
강남구,2022-03-31,25046.37037037037,152.74074074074073
강남구,2022-04-01,31644.5641025641,211.7948717948718
강남구,2022-04-02,41810.27027027027,155.2972972972973
강남구,2022-04-03,25333.333333333332,105.33333333333333
강남구,2022-04-04,18217.391304347828,163.43478260869566
강남구,2022-04-05,26671.78787878788,131.0
강남구,2022-04-06,28800.65625,165.3125
강남구,2022-04-07,39225.8,203.13333333333333
강남구,2022-04-08,29192.55172413793,169.24137931034483
강남구,2022-04-09,33194.9,140.1
강남구,2022-04-10,35250.0,269.3333333333333
강남구,2022-04-11,24783.783783783783,171.64864864864865
강남구,2022-04-12,31155.625,160.0
강남구,2022-04-13,14566.666666666666,104.13333333333334
강남구,2022-04-14,34800.0,140.8
강남구,2022-04-15,27581.972222222223,144.61111111111111
강남구,2022-04-16,31298.69230769231,165.67307692307693
강남구,2022-04-17,70000.0,315.0
강남구,2022-04-18,30951.25,154.75
강남구,2022-04-19,31899.151515151516,126.57575757575758
강남구,2022-04-20,34198.65,183.125
강남구,2022-04-21,22433.185185185186,210.88888888888889
강남구,2022-04-22,32404.347826086956,243.95652173913044
강남구,2022-04-23,42230.0,144.025
강남구,2022-04-24,22000.0,176.5
강남구,2022-04-25,27783.333333333332,191.4
강남구,2022-04-26,36803.57142857143,172.75
강남구,2022-04-27,39061.485714285714,169.88571428571427
강남구,2022-04-28,23965.2,150.64
강남구,2022-04-29,44977.41935483871,171.1290322580645
강남구,2022-04-30,37721.21568627451,175.64705882352942
강남구,2022-05-01,19000.0,93.33333333333333
강남구,2022-05-02,39648.48484848485,169.87878787878788
강남구,2022-05-03,38272.709677419356,147.93548387096774
강남구,2022-05-04,27385.714285714286,155.0
강남구,2022-05-05,50333.333333333336,157.66666666666666
강남구,2022-05-06,35815.78947368421,181.31578947368422
강남구,2022-05-07,44042.23809523809,154.42857142857142
강남구,2022-05-08,1000.0,90.0
강남구,2022-05-09,39324.02702702703,159.86486486486487
강남구,2022-05-10,32487.5,200.53125
강남구,2022-05-11,16417.86111111111,89.77777777777777
강남구,2022-05-12,46864.5625,190.65625
강남구,2022-05-13,20971.18604651163,124.83720930232558
강남구,2022-05-14,40260.37777777778,164.75555555555556
강남구,2022-05-15,36665.333333333336,133.0
강남구,2022-05-16,26598.63157894737,111.43859649122807
강남구,2022-05-17,22714.822580645163,159.56451612903226
강남구,2022-05-18,37142.375,137.83333333333334
강남구,2022-05-19,40571.64705882353,172.44117647058823
강남구,2022-05-20,37845.3023255814,142.74418604651163
강남구,2022-05-21,44885.46,146.8
강남구,2022-05-22,41361.8,108.4
강남구,2022-05-23,25258.423076923078,203.07692307692307
강남구,2022-05-24,32891.51351351351,145.24324324324326
강남구,2022-05-25,31765.5,127.22727272727273
강남구,2022-05-26,28756.657142857144,153.74285714285713
강남구,2022-05-27,29768.48717948718,155.92307692307693
강남구,2022-05-28,36563.392857142855,177.33928571428572
강남구,2022-05-29,42333.333333333336,181.66666666666666
강남구,2022-05-30,34113.0,177.15625
강남구,2022-05-31,33431.47619047619,143.76190476190476
강남구,2022-06-01,36113.15789473684,182.1315789473684
강남구,2022-06-02,26015.84931506849,104.87671232876713
강남구,2022-06-03,30714.8115942029,89.94202898550725
강남구,2022-06-04,28680.63829787234,169.0212765957447
강남구,2022-06-05,22226.666666666668,70.16666666666667
강남구,2022-06-06,38313.083333333336,159.45833333333334
강남구,2022-06-07,22755.035714285714,83.26785714285714
강남구,2022-06-08,31697.727272727272,115.18181818181819
강남구,2022-06-09,40088.444444444445,143.83333333333334
강남구,2022-06-10,13318.636363636364,166.13636363636363
강남구,2022-06-11,38146.8085106383,163.68085106382978
강남구,2022-06-12,67833.33333333333,265.0
강남구,2022-06-13,31152.23076923077,105.61538461538461
강남구,2022-06-14,45001.333333333336,174.2962962962963
강남구,2022-06-15,24087.36,141.4
강남구,2022-06-16,44300.0,228.91666666666666
강남구,2022-06-17,46128.78787878788,175.63636363636363
강남구,2022-06-18,48347.15517241379,119.63793103448276
강남구,2022-06-19,8000.0,236.66666666666666
강남구,2022-06-20,35427.32,116.24
강남구,2022-06-21,35182.68571428571,113.42857142857143
강남구,2022-06-22,45419.444444444445,165.77777777777777
강남구,2022-06-23,25157.894736842107,110.63157894736842
강남구,2022-06-24,38451.78571428572,231.25
강남구,2022-06-25,40051.25,159.875
강남구,2022-06-26,94250.0,185.0
강남구,2022-06-27,32572.222222222223,195.77777777777777
강남구,2022-06-28,29516.766666666666,171.76666666666668
강남구,2022-06-29,33627.25,184.71875
강남구,2022-06-30,35864.51612903226,161.1290322580645
강남구,2022-07-01,51540.0,176.69565217391303
강남구,2022-07-02,45479.0,114.25
강남구,2022-07-03,7500.0,190.0
강남구,2022-07-04,24300.916666666668,141.54166666666666
강남구,2022-07-05,37600.0,165.38709677419354
강남구,2022-07-06,30707.69230769231,143.3846153846154
강남구,2022-07-07,29531.666666666668,184.6
강남구,2022-07-08,30508.8,183.53333333333333
강남구,2022-07-09,51116.666666666664,161.5
강남구,2022-07-10,32000.0,150.6
강남구,2022-07-11,40360.88888888889,135.11111111111111
강남구,2022-07-12,38182.27272727273,177.9090909090909
강남구,2022-07-13,34849.6875,153.6875
강남구,2022-07-14,33744.28,219.0
강남구,2022-07-15,24749.882352941175,190.2941176470588
강남구,2022-07-16,29200.909090909092,143.96969696969697
강남구,2022-07-17,26250.0,195.0
강남구,2022-07-18,40568.181818181816,191.72727272727272
강남구,2022-07-19,33336.44827586207,138.86206896551724
강남구,2022-07-20,41181.90476190476,206.42857142857142
강남구,2022-07-21,30578.105263157893,174.1315789473684
강남구,2022-07-22,32114.555555555555,226.66666666666666
강남구,2022-07-23,46838.88372093023,139.97674418604652
강남구,2022-07-25,35963.77142857143,143.28571428571428
강남구,2022-07-26,39346.36363636364,148.72727272727272
