SGG_NM,YM,RENT_GTN
구로구,2022-02,30926.073015873015
구로구,2022-03,33798.83306581059
구로구,2022-04,30383.650529500756
구로구,2022-05,34468.34523809524
구로구,2022-06,34476.886315789474
구로구,2022-07,33943.83932346723
구로구,2022-08,33552.93103448276
구로구,2022-09,34527.96103896104
구로구,2022-10,34309.18260869565
구로구,2022-11,32940.039886039885
구로구,2022-12,34389.01904761905
구로구,2023-01,36064.93896713615
금천구,2022-01,28448.334394904457
금천구,2022-02,27317.670854271357
금천구,2022-03,28199.070652173912
금천구,2022-04,27401.857908847185
금천구,2022-05,25564.86119873817
금천구,2022-06,26195.42900302115
금천구,2022-07,24223.397694524494
금천구,2022-08,25863.713780918726
금천구,2022-09,27259.83950617284
금천구,2022-10,30367.56862745098
금천구,2022-11,27827.031088082902
금천구,2022-12,26296.18125
금천구,2023-01,26925.4064171123
노원구,2022-01,30451.70796460177
노원구,2022-02,30015.336007130125
노원구,2022-03,29068.24630541872
노원구,2022-04,30006.944676409184
노원구,2022-05,28609.909799554567
노원구,2022-06,30188.564324324325
노원구,2022-07,29816.282467532466
노원구,2022-08,29561.112960761
노원구,2022-09,29671.575373993095
노원구,2022-10,30469.199288256226
노원구,2022-11,30173.682666666668
노원구,2022-12,31921.986772486773
노원구,2023-01,29932.399176954732
도봉구,2022-01,28617.745614035088
도봉구,2022-02,29543.980978260868
도봉구,2022-03,28791.544502617802
도봉구,2022-04,28639.63157894737
도봉구,2022-05,29633.175308641974
도봉구,2022-06,29045.107382550337
도봉구,2022-07,29207.146974063402
도봉구,2022-08,28671.55462184874
도봉구,2022-09,27896.770897832816
도봉구,2022-10,28945.07284768212
도봉구,2022-11,28768.516129032258
도봉구,2022-12,27878.062780269058
도봉구,2023-01,26415.937062937064
동대문구,2022-01,37477.10735586481
동대문구,2022-02,40677.558044806516
동대문구,2022-03,40837.989837398374
동대문구,2022-04,41431.552311435524
동대문구,2022-05,42861.45376344086
동대문구,2022-06,42702.09951456311
동대문구,2022-07,40755.04826254826
동대문구,2022-08,41430.22698072805
동대문구,2022-09,43929.08275862069
동대문구,2022-10,41554.299741602066
동대문구,2022-11,38043.67973856209
동대문구,2022-12,37416.05187319885
